"lastname","firstname","articleNum","birthDate","birthMonth","birthDay","zodiac"
"Dreyfuss","Richard",3,"1947-10-29","10","29","Scorpio"
"Drudge","Matt",3,"1966-10-27","10","27","Scorpio"
"Du Pont","John E",0,"1938-11-22","11","22","Scorpio"
"Duane","Thomas K",4,"1955-01-30","1","30","Aquarius"
"Dubus","Andre",1,"1936-08-11","8","11","Leo"
"Ducasse","Alain",14,"1956-09-13","9","13","Virgo"
"Duchamp","Marcel",9,"1887-07-28","7","28","Leo"
"Duchovny","David",11,"1960-08-07","8","7","Leo"
"Dudley","Chris",0,"1965-02-22","2","22","Pisces"
"Duff","Patricia",0,"1954-04-12","4","12","Aries"
"Dugger","Celia W",1,"1958-07-03","7","3","Cancer"
"Duhalde","Eduardo",1,"1941-10-05","10","5","Libra"
"Duisenberg","Wim",0,"1935-07-09","7","9","Cancer"
"Dukakis","Michael S",6,"1933-11-03","11","3","Scorpio"
"Dukakis","Olympia",5,"1931-06-20","6","20","Gemini"
"Duke","David E",0,"1950-07-01","7","1","Cancer"
"Duke","Doris",7,"1912-11-22","11","22","Scorpio"
"Dumas","Roland",0,"1922-08-23","8","23","Virgo"
"Dunaway","Faye",4,"1941-01-14","1","14","Capricorn"
"Duncan","Arne",56,"1964-11-06","11","6","Scorpio"
"Duncan","Isadora",4,"1877-05-27","5","27","Gemini"
"Duncan","Tim",24,"1976-04-25","4","25","Taurus"
"Dungy","Tony",39,"1955-10-06","10","6","Libra"
"Dunkel","Paul Lustig",1,"NA","NA","NA","NA"
"Dunlap","Albert J",1,"1937-07-26","7","26","Leo"
"Dunn","Patricia C",29,"1953-03-27","3","27","Aries"
"Dunne","Dominick",3,"1925-10-29","10","29","Scorpio"
"Dunne","John Gregory",9,"1932-05-25","5","25","Gemini"
"Duquette","Jim",6,"1966-01-01","1","1","Capricorn"
"Durang","Christopher",15,"1949-01-02","1","2","Capricorn"
"Duras","Marguerite",1,"1914-04-04","4","4","Aries"
"Durbin","Richard J",23,"1944-11-21","11","21","Scorpio"
"Durning","Charles",0,"1923-02-28","2","28","Pisces"
"Durso","Joseph",1,"1924-06-22","6","22","Cancer"
"Durst","Robert A",3,"1943-01-01","1","1","Capricorn"
"Dutoit","Charles",15,"1936-10-07","10","7","Libra"
"Dutroux","Marc",1,"1956-11-06","11","6","Scorpio"
"Duval","David",13,"1971-11-09","11","9","Scorpio"
"Duvall","Robert",10,"1931-01-05","1","5","Capricorn"
"Dwyer","Jim",24,"NA","NA","NA","NA"
"Dykstra","Gretchen",3,"1948-08-22","8","22","Leo"
"Dylan","Bob",77,"1941-05-24","5","24","Gemini"
"Dyson","Esther",6,"1951-07-14","7","14","Cancer"
"da Vinci","Leonardo",25,"1452-04-15","4","15","Aries"
"de Blasio","Bill",31,"1961-05-08","5","8","Taurus"
"de Gaulle","Charles",5,"1890-11-22","11","22","Scorpio"
"de Keersmaeker","Anne Teresa",8,"1960-01-01","1","1","Capricorn"
"de Klerk","F W",1,"1936-03-18","3","18","Pisces"
"de Kooning","Willem",18,"1904-04-24","4","24","Taurus"
"de Larrocha","Alicia",2,"1923-05-23","5","23","Gemini"
"de Montebello","Philippe",27,"1936-05-16","5","16","Taurus"
"de Palma","Brian",5,"1940-09-11","9","11","Virgo"
"de la Renta","Oscar",26,"1933-07-22","7","22","Cancer"
"de la Rua","Fernando",0,"1937-09-15","9","15","Virgo"
"Eagleburger","Lawrence S",0,"1930-08-01","8","1","Leo"
"Eaglen","Jane",0,"1960-04-04","4","4","Aries"
"Eakins","Thomas",11,"1844-07-25","7","25","Leo"
"Earhart","Amelia",10,"1897-07-24","7","24","Leo"
"Easterbrook","Gregg",5,"1953-03-03","3","3","Pisces"
"Eastwood","Clint",47,"1930-05-31","5","31","Gemini"
"Eaton","Robert J",0,"1940-01-01","1","1","Capricorn"
"Ebadi","Shirin",14,"1947-06-21","6","21","Gemini"
"Ebb","Fred",10,"1928-04-08","4","8","Aries"
"Ebbers","Bernard J",60,"1941-08-27","8","27","Virgo"
"Eberharter","Stephan",0,"1969-03-24","3","24","Aries"
"Ebersol","Dick",17,"1947-07-28","7","28","Leo"
"Ebersole","Christine",22,"1953-02-21","2","21","Pisces"
"Ebert","Roger",7,"1942-06-18","6","18","Gemini"
"Ecevit","Bulent",1,"1925-05-28","5","28","Gemini"
"Echeverria","Luis",1,"1922-01-17","1","17","Capricorn"
"Edberg","Stefan",1,"1966-01-19","1","19","Capricorn"
"Edelman","Marian Wright",1,"1939-06-06","6","6","Gemini"
"Edelstein","David N",0,"1910-02-16","2","16","Aquarius"
"Edgar","Jim",2,"1946-07-22","7","22","Cancer"
"Edison","Thomas A",6,"1847-02-11","2","11","Aquarius"
"Edwards","Blake",1,"1922-07-26","7","26","Leo"
"Edwards","Edwin W",0,"1927-08-07","8","7","Leo"
"Edwards","Elizabeth",34,"1949-07-03","7","3","Cancer"
"Edwards","Herman",53,"1954-04-27","4","27","Taurus"
"Edwards","John",273,"1953-06-10","6","10","Gemini"
"Egan","Edward M",29,"1932-04-02","4","2","Aries"
"Egan","Timothy",6,"1954-11-08","11","8","Scorpio"
"Egeland","Jan",4,"1957-09-12","9","12","Virgo"
"Eggers","Dave",22,"1970-03-12","3","12","Pisces"
"Egoyan","Atom",12,"1960-07-19","7","19","Cancer"
"Ehrenreich","Barbara",12,"1941-08-26","8","26","Virgo"
"Ehrlich","Robert L Jr",9,"1957-11-25","11","25","Sagittarius"
"Eichenwald","Kurt",4,"1961-06-28","6","28","Cancer"
"Eichmann","Adolf",9,"1906-03-19","3","19","Pisces"
"Einstein","Albert",34,"1879-03-14","3","14","Pisces"
"Eisenhower","Dwight David",31,"1890-10-14","10","14","Libra"
"Eisenman","Peter",6,"1932-08-11","8","11","Leo"
"Eisenstein","Sergei",1,"1898-01-22","1","22","Aquarius"
"Eisley","Howard",0,"1972-12-04","12","4","Sagittarius"
"Eisner","Michael D",63,"1942-03-07","3","7","Pisces"
"Eizenstat","Stuart E",2,"1943-01-15","1","15","Capricorn"
"Ekeus","Rolf",0,"1935-07-07","7","7","Cancer"
"El-Hage","Wadih",2,"1960-07-25","7","25","Leo"
"ElBaradei","Mohamed",42,"1942-06-17","6","17","Gemini"
"Eldredge","Todd",0,"1971-08-28","8","28","Virgo"
"Eliasson","Olafur",19,"1967-01-01","1","1","Capricorn"
"Eliot","Thomas Stearns",6,"1888-09-26","9","26","Libra"
"Elizabeth II","Queen of Great Britain",20,"1926-04-21","4","21","Taurus"
"Elkin","Stanley",0,"1930-05-11","5","11","Taurus"
"Ellington","Duke",17,"1899-04-29","4","29","Taurus"
"Elliott","Andrea",0,"1972-12-14","12","14","Sagittarius"
"Ellis","Bret Easton",8,"1964-03-07","3","7","Pisces"
"Ellis","Joseph J",6,"1943-07-18","7","18","Cancer"
"Ellis","Shaun",9,"1977-06-24","6","24","Cancer"
"Ellison","Lawrence J",18,"1944-08-17","8","17","Leo"
"Ellison","Ralph",7,"1913-03-01","3","1","Pisces"
"Ellroy","James",5,"1948-03-04","3","4","Pisces"
"Ellsberg","Daniel",5,"1931-04-07","4","7","Aries"
"Els","Ernie",26,"1969-10-17","10","17","Libra"
"Elway","John",4,"1960-06-28","6","28","Cancer"
"Emanuel","Rahm",63,"1959-11-29","11","29","Sagittarius"
"Eminem","NA",18,"1972-10-17","10","17","Libra"
"Engel","Eliot L",1,"1947-02-18","2","18","Aquarius"
"England","Lynndie R",8,"1982-11-08","11","8","Scorpio"
"Engler","John",0,"1948-10-12","10","12","Libra"
"Enqvist","Thomas",1,"1974-03-13","3","13","Pisces"
"Ensign","John",22,"1958-03-25","3","25","Aries"
"Ensler","Eve",10,"1953-05-25","5","25","Gemini"
"Ephron","Nora",25,"1941-05-19","5","19","Taurus"
"Erbakan","Necmettin",0,"1926-10-29","10","29","Scorpio"
"Erdogan","Recep Tayyip",86,"1954-02-26","2","26","Pisces"
"Erdrich","Louise",9,"1954-06-07","6","7","Gemini"
"Erekat","Saeb",7,"1955-04-28","4","28","Taurus"
"Eristoff","Andrew S",0,"1963-02-20","2","20","Pisces"
"Erlanger","Steven",1,"1952-01-01","1","1","Capricorn"
"Errico","Melissa",2,"1970-03-23","3","23","Aries"
"Erving","Julius",3,"1950-02-22","2","22","Pisces"
"Esbjornson","David",3,"NA","NA","NA","NA"
"Eschenbach","Christoph",17,"1940-01-01","1","1","Capricorn"
"Esiason","Boomer",4,"1961-04-17","4","17","Aries"
"Espada","Pedro Jr",59,"1953-10-20","10","20","Libra"
"Espy","Mike",0,"1953-11-30","11","30","Sagittarius"
"Esrey","William T",0,"1940-01-01","1","1","Capricorn"
"Estefan","Gloria",2,"1957-09-01","9","1","Virgo"
"Estrada","Joseph",2,"1937-04-19","4","19","Aries"
"Estrada","Miguel",0,"1961-09-25","9","25","Libra"
"Eszterhas","Joe",2,"1944-11-23","11","23","Sagittarius"
"Etzioni","Amitai",1,"1929-01-04","1","4","Capricorn"
"Eugenides","Jeffrey",6,"1960-03-08","3","8","Pisces"
"Euripides","NA",17,"NA","NA","NA","NA"
"Evans","Donald L",3,"1946-07-26","7","26","Leo"
"Evans","Walker",13,"1903-11-03","11","3","Scorpio"
"Everett","Carl",2,"1971-06-03","6","3","Gemini"
"Everett","Rupert",7,"1959-05-29","5","29","Gemini"
"Evers","Medgar",2,"1925-07-02","7","2","Cancer"
"Everson","Mark W",4,"1954-09-10","9","10","Virgo"
"Evert","Chris",6,"1954-12-21","12","21","Sagittarius"
"Ewing","Patrick",10,"1962-08-05","8","5","Leo"
"Eyadema","Gnassingbe",0,"1935-12-26","12","26","Capricorn"
"Eyre","Richard",7,"1943-03-28","3","28","Aries"
"Fahd","NA",5,"1921-03-16","3","16","Pisces"
"Fahim","Muhammad",4,"1957-01-01","1","1","Capricorn"
"Faircloth","Lauch",0,"1928-01-14","1","14","Capricorn"
"Fairstein","Linda",3,"1947-05-05","5","5","Taurus"
"Faithfull","Marianne",4,"1946-12-29","12","29","Capricorn"
"Falco","Edie",13,"1963-07-05","7","5","Cancer"
"Faldo","Nick",13,"1957-07-18","7","18","Cancer"
"Falk","David",2,"1950-01-01","1","1","Capricorn"
"Falk","Peter",1,"1927-09-16","9","16","Virgo"
"Fallows","James",6,"1949-08-02","8","2","Leo"
"Faludi","Susan",3,"1959-04-18","4","18","Aries"
"Falwell","Jerry",23,"1933-08-11","8","11","Leo"
"Farrakhan","Louis",8,"1933-05-11","5","11","Taurus"
"Farrell","Colin",26,"1976-05-31","5","31","Gemini"
"Farrell","Herman D Jr",3,"1932-02-04","2","4","Aquarius"
"Farrell","Suzanne",12,"1945-08-16","8","16","Leo"
"Farrow","Mia",10,"1945-02-09","2","9","Aquarius"
"Fassbinder","Rainer Werner",7,"1945-05-31","5","31","Gemini"
"Fassel","Jim",8,"1949-08-31","8","31","Virgo"
"Fastow","Andrew S",19,"1961-12-22","12","22","Capricorn"
"Fauci","Anthony S",4,"1940-12-24","12","24","Capricorn"
"Faulk","Marshall",0,"1973-02-26","2","26","Pisces"
"Faulkner","Daniel",0,"NA","NA","NA","NA"
"Faulkner","William",10,"1897-09-25","9","25","Libra"
"Favre","Brett",129,"1969-10-10","10","10","Libra"
"Fayed","Emad al-",0,"1955-04-15","4","15","Aries"
"Fayed","Mohamed al-",2,"1933-01-27","1","27","Aquarius"
"Fayyad","Salam",16,"1952-04-02","4","2","Aries"
"Fazio","Vic",0,"1942-10-11","10","11","Libra"
"Federer","Roger",296,"1981-08-08","8","8","Leo"
"Feerick","John D",4,"NA","NA","NA","NA"
"Fehr","Donald",41,"1948-06-18","6","18","Gemini"
"Feiffer","Jules",7,"1929-01-26","1","26","Aquarius"
"Feinberg","Kenneth R",28,"1945-10-23","10","23","Libra"
"Feiner","Paul",4,"1956-02-14","2","14","Aquarius"
"Feingold","Russell D",22,"1953-03-02","3","2","Pisces"
"Feinstein","Dianne",32,"1933-06-22","6","22","Cancer"
"Feinstein","Michael",16,"1956-09-07","9","7","Virgo"
"Feith","Douglas J",6,"1953-07-16","7","16","Cancer"
"Feld","Eliot",11,"1942-07-05","7","5","Cancer"
"Feldman","Morton",10,"1926-01-12","1","12","Capricorn"
"Feldman","Sandra",1,"1939-10-13","10","13","Libra"
"Feldshuh","Tovah",7,"1952-12-27","12","27","Capricorn"
"Fellini","Federico",4,"1920-01-20","1","20","Capricorn"
"Feltsman","Vladimir",8,"1952-01-08","1","8","Capricorn"
"Ferencz","Benjamin B",0,"1920-03-11","3","11","Pisces"
"Ferguson","Niall",10,"1964-04-18","4","18","Aries"
"Fernandes","George",0,"1930-06-03","6","3","Gemini"
"Fernandez","Leonel",0,"1953-12-26","12","26","Capricorn"
"Ferraro","Geraldine A",10,"1935-08-26","8","26","Virgo"
"Ferre","Gianfranco",4,"1944-08-15","8","15","Leo"
"Ferreira","Wayne",0,"1971-09-15","9","15","Virgo"
"Ferrell","Will",35,"1967-07-16","7","16","Cancer"
"Ferrer","Fernando",240,"1950-04-30","4","30","Taurus"
"Ferrero","Juan Carlos",7,"1980-02-12","2","12","Aquarius"
"Fey","Tina",28,"1970-05-18","5","18","Taurus"
"Fhimah","Al Amin Khalifa",0,"1956-04-04","4","4","Aries"
"Fiedler","Jay",7,"1971-12-29","12","29","Capricorn"
"Fieger","Geoffrey",1,"1950-12-23","12","23","Capricorn"
"Field","Sally",6,"1946-11-06","11","6","Scorpio"
"Fielder","Cecil",1,"1963-09-21","9","21","Virgo"
"Fields","C Virginia",81,"1945-08-06","8","6","Leo"
"Fiennes","Ralph",22,"1962-12-22","12","22","Capricorn"
"Fierstein","Harvey",12,"1952-06-06","6","6","Gemini"
"Figgis","Mike",0,"1948-02-28","2","28","Pisces"
"Filkins","Dexter",13,"1961-01-01","1","1","Capricorn"
"Fine","Glenn A",2,"NA","NA","NA","NA"
"Finley","Karen",2,"1956-01-01","1","1","Capricorn"
"Fiorina","Carleton S",42,"1954-09-06","9","6","Virgo"
"Firth","Colin",12,"1960-09-10","9","10","Virgo"
"Fischer","Bobby",18,"1943-03-09","3","9","Pisces"
"Fischer","Joschka",4,"1948-04-12","4","12","Aries"
"Fischer","Stanley",2,"1943-10-15","10","15","Libra"
"Fischl","Eric",2,"1948-03-09","3","9","Pisces"
"Fish","Mardy",9,"1981-12-09","12","9","Sagittarius"
"Fish","Stanley",7,"1938-04-19","4","19","Aries"
"Fisher","Amy",5,"1974-08-21","8","21","Leo"
"Fisher","Carrie",11,"1956-10-21","10","21","Libra"
"Fisher","George M C",1,"1940-01-01","1","1","Capricorn"
"Fisk","Carlton",2,"1947-12-26","12","26","Capricorn"
"Fitzgerald","Ella",6,"1917-04-25","4","25","Taurus"
"Fitzgerald","F Scott",22,"1896-09-24","9","24","Libra"
"Fitzgerald","Patrick J",58,"1960-12-22","12","22","Capricorn"
"Fitzgerald","Penelope",0,"1916-12-17","12","17","Sagittarius"
"Flake","Floyd H",8,"1945-01-30","1","30","Aquarius"
"Flanders","Stephanie",0,"1968-08-05","8","5","Leo"
"Flaubert","Gustave",5,"1821-12-12","12","12","Sagittarius"
"Flavin","Dan",9,"1933-04-01","4","1","Aries"
"Flay","Bobby",18,"1964-12-10","12","10","Sagittarius"
"Fleischer","Ari",7,"1960-10-13","10","13","Libra"
"Fleisher","Bruce",0,"1948-10-16","10","16","Libra"
"Fleiss","Heidi",3,"1965-12-30","12","30","Capricorn"
"Fleming","Renee",35,"1959-02-14","2","14","Aquarius"
"Fletcher","Ernie",16,"1952-11-12","11","12","Scorpio"
"Fleury","Theo",1,"1968-06-29","6","29","Cancer"
"Florio","Jim",1,"1937-08-29","8","29","Virgo"
"Florio","Steven T",2,"1949-04-19","4","19","Aries"
"Flowers","Gennifer",2,"1950-01-24","1","24","Aquarius"
"Flutie","Doug",5,"1962-10-23","10","23","Libra"
"Flynt","Larry",4,"1942-11-01","11","1","Scorpio"
"Fo","Dario",2,"1926-03-24","3","24","Aries"
"Foer","Jonathan Safran",17,"1977-02-21","2","21","Pisces"
"Foley","Glenn",0,"1970-10-10","10","10","Libra"
"Foley","Mark A",58,"1954-09-08","9","8","Virgo"
"Fonda","Jane",23,"1937-12-21","12","21","Sagittarius"
"Foner","Eric",2,"1943-02-07","2","7","Aquarius"
"Foote","Horton",27,"1916-03-14","3","14","Pisces"
"Forbes","Malcolm",3,"1919-08-19","8","19","Leo"
"Forbes","Malcolm S Jr",0,"1947-07-18","7","18","Cancer"
"Forbes","Michael P",1,"1952-07-16","7","16","Cancer"
"Ford","Gerald Rudolph Jr",47,"1913-07-14","7","14","Cancer"
"Ford","Harrison",13,"1942-07-13","7","13","Cancer"
"Ford","Henry",9,"1863-07-30","7","30","Leo"
"Ford","Richard",5,"1944-02-16","2","16","Aquarius"
"Ford","Tom",28,"1961-08-27","8","27","Virgo"
"Fordice","Kirk",2,"1934-02-10","2","10","Aquarius"
"Foreman","George",6,"1949-01-10","1","10","Capricorn"
"Forrest","Vernon",4,"1971-01-12","1","12","Capricorn"
"Forrester","Douglas R",70,"1953-01-24","1","24","Aquarius"
"Forstmann","Theodore J",4,"1940-02-13","2","13","Aquarius"
"Fortuyn","Pim",2,"1948-02-19","2","19","Pisces"
"Foss","Lukas",2,"1922-08-15","8","15","Leo"
"Fosse","Bob",4,"1927-06-23","6","23","Cancer"
"Fossella","Vito J Jr",36,"1965-03-09","3","9","Pisces"
"Fossett","Steve",26,"1944-04-22","4","22","Taurus"
"Foster","Jodie",8,"1962-11-19","11","19","Scorpio"
"Foster","Vincent W Jr",1,"1945-01-15","1","15","Capricorn"
"Fox Quesada","Vicente",0,"1942-07-02","7","2","Cancer"
"Fox","Michael J",10,"1961-06-09","6","9","Gemini"
"Foxman","Abraham H",6,"1940-05-01","5","1","Taurus"
"Foxx","Jamie",28,"1967-12-13","12","13","Sagittarius"
"Franchitti","Dario",13,"1973-05-19","5","19","Taurus"
"Franco","Francisco",12,"1892-12-04","12","4","Sagittarius"
"Franco","Itamar",0,"1930-06-28","6","28","Cancer"
"Franco","John",6,"1960-09-17","9","17","Virgo"
"Franey","Pierre",1,"1921-01-13","1","13","Capricorn"
"Frank","Anne",24,"1929-06-12","6","12","Gemini"
"Frank","Barney",47,"1940-03-31","3","31","Aries"
"Frank","Lawrence",25,"1970-08-23","8","23","Virgo"
"Frank","Pamela",0,"1967-06-20","6","20","Gemini"
"Frank","Robert H",3,"1945-01-02","1","2","Capricorn"
"Frankel","Max",3,"1930-01-01","1","1","Capricorn"
"Franken","Al",53,"1951-05-21","5","21","Gemini"
"Frankenheimer","John",0,"1930-02-19","2","19","Pisces"
"Frankenthaler","Helen",3,"1928-12-12","12","12","Sagittarius"
"Franklin","Aretha",10,"1942-03-25","3","25","Aries"
"Franklin","Benjamin",21,"1706-01-17","1","17","Capricorn"
"Franklin","John Hope",8,"1915-01-02","1","2","Capricorn"
"Franks","Bob",1,"1951-09-21","9","21","Virgo"
"Franks","Gary A",0,"1953-02-09","2","9","Aquarius"
"Franks","Tommy R",18,"1945-06-17","6","17","Gemini"
"Franzen","Jonathan",9,"1959-08-17","8","17","Leo"
"Fraschilla","Fran",0,"1958-08-30","8","30","Virgo"
"Fraser","C Gerald",0,"1928-01-09","1","9","Capricorn"
"Frayn","Michael",9,"1933-09-08","9","8","Virgo"
"Frazier","Walt",7,"1945-03-29","3","29","Aries"
"Frears","Stephen",10,"1941-06-20","6","20","Gemini"
"Freedman","Samuel G",7,"1955-01-01","1","1","Capricorn"
"Freeh","Louis J",2,"1950-01-06","1","6","Capricorn"
"Freeman","Mike",0,"NA","NA","NA","NA"
"Freeman","Morgan",31,"1937-06-01","6","1","Gemini"
"French","Howard W",1,"NA","NA","NA","NA"
"Freni","Mirella",3,"1935-02-27","2","27","Pisces"
"Freston","Tom",6,"1945-11-22","11","22","Scorpio"
"Freud","Lucian",4,"1922-12-08","12","8","Sagittarius"
"Freud","Sigmund",29,"1856-05-06","5","6","Taurus"
"Frey","James",44,"1969-09-12","9","12","Virgo"
"Friedan","Betty",10,"1921-02-04","2","4","Aquarius"
"Frieden","Thomas R",17,"1960-01-01","1","1","Capricorn"
"Friedman","Kinky",8,"1944-11-01","11","1","Scorpio"
"Friedman","Milton",19,"1912-07-31","7","31","Leo"
"Friedman","Paul L",0,"1944-02-20","2","20","Pisces"
"Friedman","Thomas L",24,"1953-07-20","7","20","Cancer"
"Friel","Brian",8,"1929-01-09","1","9","Capricorn"
"Friendly","Fred W",1,"1915-10-30","10","30","Scorpio"
"Frist","Bill",117,"1952-02-22","2","22","Pisces"
"Frost","Martin",4,"1942-01-01","1","1","Capricorn"
"Frost","Robert",5,"1874-03-26","3","26","Aries"
"Frum","David",8,"1960-06-30","6","30","Cancer"
"Fry","Stephen",6,"1957-08-24","8","24","Virgo"
"Fugard","Athol",10,"1932-06-11","6","11","Gemini"
"Fuhrman","Mark",0,"1952-02-05","2","5","Aquarius"
"Fujimori","Alberto K",20,"1938-07-28","7","28","Leo"
"Fukuda","Yasuo",18,"1936-07-16","7","16","Cancer"
"Fukuyama","Francis",15,"1952-10-27","10","27","Scorpio"
"Fuller","Bonnie",7,"1956-09-08","9","8","Virgo"
"Funk","Fred",5,"1956-06-14","6","14","Gemini"
"Furst","Alan",7,"1941-02-20","2","20","Pisces"
"Furyk","Jim",39,"1970-05-12","5","12","Taurus"
"Gaba","Dan",0,"1946-01-01","1","1","Capricorn"
"Gabriel","Trip",0,"1955-01-01","1","1","Capricorn"
"Gaddis","John Lewis",2,"1941-01-01","1","1","Capricorn"
"Gaffney","Robert J",0,"NA","NA","NA","NA"
"Gaiman","Neil",15,"1960-11-10","11","10","Scorpio"
"Galarraga","Andres",4,"1961-06-18","6","18","Gemini"
"Galbraith","James K",4,"1952-01-29","1","29","Aquarius"
"Galbraith","John Kenneth",9,"1908-10-15","10","15","Libra"
"Galef","David",1,"1959-03-27","3","27","Aries"
"Gall","Carlotta",0,"NA","NA","NA","NA"
"Galliano","John",37,"1960-11-28","11","28","Sagittarius"
"Galvin","William F",4,"1950-09-17","9","17","Virgo"
"Galway","James",0,"1939-12-08","12","8","Sagittarius"
"Gambill","Jan-Michael",0,"1977-06-03","6","3","Gemini"
"Gambino Crime Family","NA",21,"NA","NA","NA","NA"
"Gandhi","Indira",4,"1917-11-19","11","19","Scorpio"
"Gandhi","Mohandas K",8,"1869-10-02","10","2","Libra"
"Gandhi","Rajiv",1,"1944-08-20","8","20","Leo"
"Gandhi","Sonia",5,"1946-12-09","12","9","Sagittarius"
"Gandolfini","James",25,"1961-09-18","9","18","Virgo"
"Gans","Herbert J",0,"1927-05-07","5","7","Taurus"
"Gantt","Harvey",0,"1943-01-01","1","1","Capricorn"
"Garamendi","John",4,"1945-01-24","1","24","Aquarius"
"Garbo","Greta",6,"1905-09-18","9","18","Virgo"
"Garbus","Martin",2,"1934-01-01","1","1","Capricorn"
"Garcetti","Gil",1,"1941-08-05","8","5","Leo"
"Garcia Lorca","Federico",4,"1898-06-05","6","5","Gemini"
"Garcia","Alan",10,"1949-05-23","5","23","Gemini"
"Garcia","Jerry",8,"1942-08-01","8","1","Leo"
"Garcia","Karim",0,"1975-10-29","10","29","Scorpio"
"Garcia","Sergio",53,"1980-01-09","1","9","Capricorn"
"Garciaparra","Nomar",11,"1973-07-23","7","23","Leo"
"Garzon","Baltasar",12,"1955-10-26","10","26","Scorpio"
"Geoghan","John J",3,"NA","NA","NA","NA"
"Gershwin","Ira",6,"NA","NA","NA","NA"
"Gerth","Jeff",2,"NA","NA","NA","NA"
"Gettelfinger","Ron",20,"NA","NA","NA","NA"
"Gettleman","Jeffrey",1,"NA","NA","NA","NA"
"Gheorghiu","Angela",10,"1965-09-07","9","7","Virgo"
"Ghosn","Carlos",35,"1954-03-09","3","9","Pisces"
"Giacometti","Alberto",12,"1901-10-10","10","10","Libra"
"Giambi","Jason",149,"1971-01-08","1","8","Capricorn"
"Gibson","Althea",5,"1927-08-25","8","25","Virgo"
"Gibson","Charles",30,"1943-03-09","3","9","Pisces"
"Gibson","Mel",35,"1956-01-03","1","3","Capricorn"
"Gielgud","John",0,"1904-04-14","4","14","Aries"
"Gifford","Kathie Lee",10,"1953-08-16","8","16","Leo"
"Gigante","Vincent",2,"1928-03-29","3","29","Aries"
"Gilbert","William S",0,"1836-11-18","11","18","Scorpio"
"Gill","Brendan",0,"1914-10-04","10","4","Libra"
"Gill","Kendall",0,"1968-05-25","5","25","Gemini"
"Gillespie","Dizzy",9,"1917-10-21","10","21","Libra"
"Gillibrand","Kirsten E",61,"1966-12-09","12","9","Sagittarius"
"Gilligan","Carol",1,"1936-11-28","11","28","Sagittarius"
"Gimelstob","Justin",1,"1977-01-26","1","26","Aquarius"
"Gingrich","Newt",60,"1943-06-17","6","17","Gemini"
"Ginsberg","Allen",14,"1926-06-03","6","3","Gemini"
"Ginsburg","Ruth Bader",30,"1933-03-15","3","15","Pisces"
"Ginsburg","William H",0,"1943-03-25","3","25","Aries"
"Gioia","Dana",6,"1950-12-24","12","24","Capricorn"
"Giordano","Philip A",1,"1963-03-25","3","25","Aries"
"Girardi","Joe",131,"1964-10-14","10","14","Libra"
"Giroux","Robert",0,"1914-04-08","4","8","Aries"
"Gish","Lillian",1,"1893-10-14","10","14","Libra"
"Gitlin","Todd",3,"1943-01-01","1","1","Capricorn"
"Giuliani","Rudolph W",421,"1944-05-28","5","28","Gemini"
"Glanz","James",0,"NA","NA","NA","NA"
"Glass","Philip",45,"1937-01-31","1","31","Aquarius"
"Glasser","I Leo",1,"1924-04-06","4","6","Aries"
"Glasser","Ira",0,"1938-01-01","1","1","Capricorn"
"Glavine","Tom",96,"1966-03-25","3","25","Aries"
"Glazer","Malcolm",8,"1928-08-15","8","15","Leo"
"Glazer","Nathan",4,"1923-02-25","2","25","Pisces"
"Gleason","Jackie",6,"1916-02-26","2","26","Pisces"
"Gleick","James",0,"1954-08-01","8","1","Leo"
"Glendening","Parris N",0,"1942-06-11","6","11","Gemini"
"Glendon","Mary Ann",1,"1938-10-07","10","7","Libra"
"Glenn","Aaron",0,"1972-07-16","7","16","Cancer"
"Glenn","John",2,"1921-07-18","7","18","Cancer"
"Glennie","Evelyn",3,"1965-07-19","7","19","Cancer"
"Glick","Deborah J",1,"1950-12-24","12","24","Capricorn"
"Glickman","Dan",8,"1944-11-24","11","24","Sagittarius"
"Glickman","Marty",2,"1917-08-14","8","14","Leo"
"Glover","Danny",10,"1946-07-22","7","22","Cancer"
"Glover","Savion",20,"1973-11-19","11","19","Scorpio"
"Gober","Robert",5,"1954-09-12","9","12","Virgo"
"Godard","Jean-Luc",26,"1930-12-03","12","3","Sagittarius"
"Goethe","Johann Wolfgang von",1,"1749-08-28","8","28","Virgo"
"Goetz","Bernhard H",0,"1947-11-07","11","7","Scorpio"
"Goizueta","Roberto C",0,"1931-11-18","11","18","Scorpio"
"Goldberg","Whoopi",15,"1955-11-13","11","13","Scorpio"
"Goldberger","Paul",5,"1950-12-04","12","4","Sagittarius"
"Golden","Howard",2,"1925-01-01","1","1","Capricorn"
"Goldhagen","Daniel Jonah",3,"1959-06-30","6","30","Cancer"
"Goldin","Daniel S",1,"1940-07-23","7","23","Leo"
"Goldman","Ari L",0,"1949-01-01","1","1","Capricorn"
"Goldsmith","James",1,"1933-02-26","2","26","Pisces"
"Goldsmith","Olivia",0,"1949-01-01","1","1","Capricorn"
"Goldstein","Matthew",2,"NA","NA","NA","NA"
"Goldsworthy","Andy",2,"1956-07-26","7","26","Leo"
"Goldwater","Barry M",0,"1909-01-01","1","1","Capricorn"
"Goleman","Daniel",0,"1946-03-07","3","7","Pisces"
"Golisano","Tom",16,"1941-11-14","11","14","Scorpio"
"Golota","Andrew",1,"1968-01-05","1","5","Capricorn"
"Gonzales","Alberto R",230,"1955-08-04","8","4","Leo"
